"Months","Number","Covid","Lockdown"
1,1354,0,"NO"
2,1186,0,"NO"
3,1255,0,"NO"
4,1264,0,"NO"
5,1517,0,"NO"
6,1586,0,"NO"
7,1398,0,"NO"
8,1504,0,"NO"
9,1509,0,"NO"
10,1423,0,"NO"
11,1458,0,"NO"
12,1360,0,"NO"
13,1444,0,"NO"
14,1233,0,"NO"
15,1310,0,"NO"
16,1457,0,"NO"
17,1662,0,"NO"
18,1579,0,"NO"
19,1658,0,"NO"
20,1545,0,"NO"
21,1569,0,"NO"
22,1582,0,"NO"
23,1572,0,"NO"
24,1508,0,"NO"
25,1534,0,"NO"
26,1384,0,"NO"
27,1555,0,"NO"
28,1570,0,"NO"
29,1695,0,"NO"
30,1668,0,"NO"
31,1688,0,"NO"
32,1579,0,"NO"
33,1659,0,"NO"
34,1658,0,"NO"
35,1511,0,"NO"
36,1498,0,"NO"
37,1517,0,"NO"
38,1411,0,"NO"
39,1488,0,"NO"
40,1723,0,"NO"
41,1674,0,"NO"
42,1622,0,"NO"
43,1884,0,"NO"
44,1669,0,"NO"
45,1664,0,"NO"
46,1650,0,"NO"
47,1720,0,"NO"
48,1594,0,"NO"
49,1694,0,"NO"
50,1382,0,"NO"
51,1620,0,"NO"
52,1592,0,"NO"
53,1852,0,"NO"
54,1764,0,"NO"
55,1693,0,"NO"
56,1710,0,"NO"
57,1627,0,"NO"
58,1724,0,"NO"
59,1653,0,"NO"
60,1580,0,"NO"
61,1512,0,"NO"
62,1446,0,"NO"
63,1670,0,"NO"
64,1650,0,"NO"
65,1823,0,"NO"
66,2016,0,"NO"
67,2006,0,"NO"
68,1828,0,"NO"
69,1818,0,"NO"
70,1801,0,"NO"
71,1684,0,"NO"
72,1632,0,"NO"
73,1613,4,"NO"
74,1539,14,"NO"
75,1488,1873,"YES"
76,1094,5700,"YES"
77,1336,4778,"YES"
78,1557,2199,"YES"
79,1931,846,"YES"
80,1781,862,"NO"
81,1614,5180,"NO"
82,1450,8768,"NO"
83,1319,15029,"NO"
84,1368,21803,"YES"
85,1317,22444,"YES"
86,1225,9844,"YES"
87,1401,18528,"YES"
88,1303,35183,"YES"
89,1682,15107,"YES"
90,1700,1912,"NO"
91,1654,987,"NO"
92,1788,4084,"NO"
93,1624,3951,"NO"
94,1742,2086,"NO"
95,1496,2758,"NO"
96,1408,57701,"YES"
