"Months","Number","Covid","Lockdown"
1,240,0,"NO"
2,238,0,"NO"
3,318,0,"NO"
4,303,0,"NO"
5,303,0,"NO"
6,262,0,"NO"
7,355,0,"NO"
8,344,0,"NO"
9,310,0,"NO"
10,360,0,"NO"
11,346,0,"NO"
12,266,0,"NO"
13,201,0,"NO"
14,204,0,"NO"
15,262,0,"NO"
16,273,0,"NO"
17,256,0,"NO"
18,287,0,"NO"
19,273,0,"NO"
20,324,0,"NO"
21,275,0,"NO"
22,336,0,"NO"
23,313,0,"NO"
24,261,0,"NO"
25,270,0,"NO"
26,222,0,"NO"
27,282,0,"NO"
28,230,0,"NO"
29,253,0,"NO"
30,306,0,"NO"
31,326,0,"NO"
32,276,0,"NO"
33,311,0,"NO"
34,327,0,"NO"
35,282,0,"NO"
36,261,0,"NO"
37,254,0,"NO"
38,233,0,"NO"
39,293,0,"NO"
40,277,0,"NO"
41,287,0,"NO"
42,326,0,"NO"
43,322,0,"NO"
44,350,0,"NO"
45,331,0,"NO"
46,325,0,"NO"
47,334,0,"NO"
48,322,0,"NO"
49,333,0,"NO"
50,327,0,"NO"
51,351,0,"NO"
52,356,0,"NO"
53,424,0,"NO"
54,405,0,"NO"
55,410,0,"NO"
56,427,0,"NO"
57,379,0,"NO"
58,444,0,"NO"
59,520,0,"NO"
60,451,0,"NO"
61,450,0,"NO"
62,376,0,"NO"
63,417,0,"NO"
64,400,0,"NO"
65,432,0,"NO"
66,462,0,"NO"
67,471,0,"NO"
68,424,0,"NO"
69,448,0,"NO"
70,536,0,"NO"
71,499,0,"NO"
72,448,0,"NO"
73,440,4,"NO"
74,411,14,"NO"
75,468,1873,"YES"
76,461,5700,"YES"
77,465,4778,"YES"
78,492,2199,"YES"
79,494,846,"YES"
80,455,862,"NO"
81,584,5180,"NO"
82,572,8768,"NO"
83,509,15029,"NO"
84,405,21803,"YES"
85,428,22444,"YES"
86,377,9844,"YES"
87,459,18528,"YES"
88,445,35183,"YES"
89,491,15107,"YES"
90,491,1912,"NO"
91,565,987,"NO"
92,607,4084,"NO"
93,667,3951,"NO"
94,695,2086,"NO"
95,641,2758,"NO"
96,556,57701,"YES"
