"Months","Number","Covid","Lockdown"
1,586,0,"NO"
2,482,0,"NO"
3,567,0,"NO"
4,627,0,"NO"
5,628,0,"NO"
6,611,0,"NO"
7,576,0,"NO"
8,634,0,"NO"
9,638,0,"NO"
10,665,0,"NO"
11,660,0,"NO"
12,556,0,"NO"
13,513,0,"NO"
14,416,0,"NO"
15,512,0,"NO"
16,543,0,"NO"
17,550,0,"NO"
18,619,0,"NO"
19,624,0,"NO"
20,669,0,"NO"
21,643,0,"NO"
22,634,0,"NO"
23,596,0,"NO"
24,620,0,"NO"
25,546,0,"NO"
26,525,0,"NO"
27,505,0,"NO"
28,538,0,"NO"
29,501,0,"NO"
30,556,0,"NO"
31,524,0,"NO"
32,520,0,"NO"
33,500,0,"NO"
34,542,0,"NO"
35,602,0,"NO"
36,575,0,"NO"
37,572,0,"NO"
38,496,0,"NO"
39,565,0,"NO"
40,528,0,"NO"
41,509,0,"NO"
42,526,0,"NO"
43,596,0,"NO"
44,624,0,"NO"
45,579,0,"NO"
46,659,0,"NO"
47,686,0,"NO"
48,596,0,"NO"
49,668,0,"NO"
50,586,0,"NO"
51,622,0,"NO"
52,512,0,"NO"
53,633,0,"NO"
54,647,0,"NO"
55,564,0,"NO"
56,654,0,"NO"
57,638,0,"NO"
58,734,0,"NO"
59,640,0,"NO"
60,753,0,"NO"
61,720,0,"NO"
62,570,0,"NO"
63,609,0,"NO"
64,751,0,"NO"
65,741,0,"NO"
66,689,0,"NO"
67,811,0,"NO"
68,765,0,"NO"
69,698,0,"NO"
70,785,0,"NO"
71,759,0,"NO"
72,675,0,"NO"
73,706,4,"NO"
74,623,14,"NO"
75,735,1873,"YES"
76,614,5700,"YES"
77,467,4778,"YES"
78,490,2199,"YES"
79,567,846,"YES"
80,610,862,"NO"
81,515,5180,"NO"
82,536,8768,"NO"
83,508,15029,"NO"
84,581,21803,"YES"
85,529,22444,"YES"
86,420,9844,"YES"
87,428,18528,"YES"
88,424,35183,"YES"
89,506,15107,"YES"
90,456,1912,"NO"
91,513,987,"NO"
92,499,4084,"NO"
93,485,3951,"NO"
94,474,2086,"NO"
95,464,2758,"NO"
96,460,57701,"YES"
